agent_id,hub,function,month,tickets_handled,total_working_hours,ticket_work_hours,utilization_pct,avg_hours_per_ticket
AG-001,A,IT,2025-10,5,168,94,55.95,18.8
AG-003,A,IT,2025-10,4,176,178,101.14,44.5
AG-002,A,HR,2025-10,7,176,117,66.48,16.71
AG-004,A,Finance,2025-10,13,168,115,68.45,8.85
AG-005,B,IT,2025-10,7,168,168,100.0,24.0
AG-006,B,HR,2025-10,8,176,84,47.73,10.5
AG-007,B,Finance,2025-10,6,176,92,52.27,15.33
AG-001,A,IT,2025-11,2,176,128,72.73,64.0
AG-003,A,IT,2025-11,2,168,115,68.45,57.5
AG-002,A,HR,2025-11,10,160,161,100.63,16.1
AG-004,A,Finance,2025-11,8,176,114,64.77,14.25
AG-005,B,IT,2025-11,11,160,119,74.38,10.82
AG-006,B,HR,2025-11,10,168,167,99.4,16.7
AG-007,B,Finance,2025-11,7,176,103,58.52,14.71
AG-001,A,IT,2025-12,3,176,177,100.57,59.0
AG-003,A,IT,2025-12,4,176,114,64.77,28.5
AG-002,A,HR,2025-12,10,160,119,74.38,11.9
AG-004,A,Finance,2025-12,9,168,125,74.4,13.89
AG-005,B,IT,2025-12,10,160,108,67.5,10.8
AG-006,B,HR,2025-12,7,176,127,72.16,18.14
AG-007,B,Finance,2025-12,7,168,166,98.81,23.71
